Jaksotus 2026-2027;Kurre 7.37.2.1
Helsingin normaalilyseo;12.03.2026 20:27
;Viikkotunnit

-;Periodi 1;Periodi 2;Periodi 3;Periodi 4;Periodi 5;Yht.;Ryhmä/palkki;;Koko;
;;5;;;;5;4:;MAA06.3;0;
;;;5;;;5;5:;MAA06.3;16;
;;;;5;;5;4:;MAA07.1;29;
;;;;5;;5;3:;MAA07.2;32;
;;;;5;;5;6:;MAA07.3;10;
;;;;;5;5;2:;MAA08.1;26;
;;;;;5;5;3:;MAA08.2;17;
;;;;;5;5;4:;MAA08.3;27;
;;5;;;;5;2:;MAA09.1;11;
;;5;;;;5;5:;MAA09.2;35;
;;5;;;;5;4:;MAA09.3;25;
;5;;;;;5;2:;MAA10.1;14;
;5;;;;;5;3:;MAA10.2;23;
;5;;;;;5;1:;MAA10.3;5;
;5;;;;;5;5:;MAA11.1;15;
;;;5;;;5;6:;MAA11.2;20;
;;;;5;;5;7:;MAA11.3;20;
;;5;;;;5;3:;MAA12.1;27;
;;5;;;;5;5:;MAA12.2;12;
;;5;;;;5;4:;MAA12.3;6;
;;;;1,67;;1,67;8 (to):;MAA131.1;0;
;;;;;1,67;1,67;8 (ti):;MAA131.1;0;
;;;1,67;;;1,67;1 (ma):;MAA131.1;0;
;;;;1,67;;1,67;8 (pe):;MAA131.2;0;
;;;1,67;;;1,67;1 (ke):;MAA131.2;0;
;;;;;1,67;1,67;8 (to):;MAA131.2;0;
;;;;;1,67;1,67;8 (ti):;MAA141.1;24;
;;;1,67;;;1,67;1 (ke):;MAA141.1;24;
;;;;1,67;;1,67;8 (pe):;MAA141.1;24;
;;;1,67;;;1,67;1 (ma):;MAA141.2;20;
;;;;1,67;1,67;3,33;8 (to):;MAA141.2;20;
;;5;;;;5;2:;MAA151.1;18;
;;5;;;;5;6:;MAA151.2;24;
;;;5;;;5;3:;MAA161.1;12;
;;;5;;;5;4:;MAA161.2;38;
;;;5;;;5;1:;MAA181.1;16;
;5;;;;;5;7:;MAB 010 HBR.1;1;
;;;;5;;5;2:;MAB02.1;0;
;;;;;5;5;3:;MAB03.1;1;
;;5;;;;5;6:;MAB04.1;4;
;;;;5;;5;4:;MAB05.1;2;
;;;;;5;5;2:;MAB06.1;2;
;;;;;5;5;2:;MAB07.1;0;
;5;;;;;5;5:;MAB08.1;10;
;;5;;;;5;2:;MAB09.1;11;
;;;5;;;5;4:;MAB10.1;10;
;5;;;;;5;3:;MAY01.1;0;
;5;;;;;5;3:;MAY01.2;0;
;5;;;;;5;3:;MAY01.3;0;
;;3,33;;;;3,33;8 (to ja pe):;MU01.1;0;
;1,67;;;;;1,67;5 pe:;MU01.1;0;
;;1,67;;;;1,67;8 (ti):;MU01.2;1;
;3,33;;;;;3,33;5 ti ja ke:;MU01.2;1;
;;;;;3,33;3,33;7 (ma, ti):;MU01.3;2;
;;;;1,67;;1,67;7 (to):;MU01.3;2;
;;;;;1,67;1,67;7 (to):;MU01.4;0;
;;;;3,33;;3,33;7 :;MU01.4;0;
;;5;;;;5;7:;MU02.1;5;
;1,67;;;;;1,67;8 (ti):;OP01.1;0;
;;;;;1,67;1,67;8 (pe):;OP01.1;0;
;;;1,67;;;1,67;1 (ma):;OP01.1;0;
;1,67;;;;;1,67;8 (to):;OP01.2;0;
;;;1,67;;;1,67;1 (ke):;OP01.2;0;
;;;;;1,67;1,67;1 (ma):;OP01.2;0;
;1,67;;;;;1,67;8 (pe):;OP01.3;0;
;;;1,67;;;1,67;1 (pe):;OP01.3;0;
;;;;;1,67;1,67;1 (ke):;OP01.3;0;
;;;;1,67;;1,67;8 (ti):;OP02.1;14;
;;1,67;;;;1,67;1 (ma):;OP02.1;14;
;;1,67;;;;1,67;1 (ke):;OP02.2;13;
;;;;1,67;;1,67;8 (ti):;OP02.2;13;
;;1,67;;;;1,67;1 (ke):;OP02.3;8;
;;;;1,67;;1,67;8 (ti):;OP02.3;8;
;;1,67;;;;1,67;1ma:;OP02.4;4;
;;1,67;;;;1,67;1ke:;OP02.5;18;
;;1,67;;;;1,67;1pe:;OP02.6;5;
;;5;;;;5;4:;PS01.1;5;
;;;5;;;5;4:;PS01.2;2;
;;;;5;;5;5:;PS01.3;1;
;5;;;;;5;4:;PS02.1;8;
;;;;;5;5;3:;PS02.2;5;
;;5;;;;5;2:;PS03.1;11;
;;;5;;;5;2:;PS03.2;22;
;;;5;;;5;4:;PS04.1;15;
;;;;;5;5;4:;PS04.2;14;
;5;;;;;5;5:;PS05.1;12;
;;;;;5;5;5:;PS05.2;19;
;5;;;;;5;6:;PS06.1;23;
;5;;;;;5;2:;PS07.1;14;
;;;5;;;5;6:;PS07.2;10;
;;;;5;;5;6:;PS08.1;11;
;;5;;;;5;3:;RAA01.1;0;
;;;5;;;5;7:;RAA02.1;0;
;;5;;;;5;3:;RAA02.1;0;
;;;;;5;5;5:;RAA03.1;0;
;5;;;;;5;2:;RAA04.1;12;
;;;;5;;5;5:;RAA05.1;12;
;;;;;5;5;3:;RAA06.1;9;
;5;;;;;5;5:;RAA07.1;2;
;;5;;;;5;4:;RAA08.1;2;
;;;5;;;5;2:;RAA10.1;2;
;;5;;;;5;6:;RAB31.1;1;
;;;5;;;5;7:;RAB32.1;0;
;;;;;5;5;7:;RAB33.1;0;
;5;;;;;5;3:;RAB34.1;5;
;;;5;;;5;7:;RAB35.1;5;
;;;;;5;5;7:;RAB36.1;1;
;5;;;;;5;5:;RAB37.1;0;
;;5;;;;5;4:;RAB38.1;0;
